id,image,timestamp_utc,distance_m,distance_definition,image_width,image_height,corner_order,corners_px,width_cm,height_cm,edge_lengths_cm,normalized_corners,planar_corners_cm,calibration_file,calibration_sha256,annotated_image
book_01,book_measurement_images/book_01_2p134m.jpeg,2026-09-15T02:16:29.088287+00:00,2.134,perpendicular optical-center-to-cover depth Z,3024,4032,"[""top-left"", ""top-right"", ""bottom-right"", ""bottom-left""]","[[1375.3826775083494, 1871.1863656163782], [1564.1905764483813, 1871.1863656163782], [1568.5814578190798, 2152.202773341077], [1375.3826775083494, 2165.3754174531723]]",13.486814280453885,20.057678414086613,"{""top"": 13.304160243624105, ""right"": 19.611518453655545, ""bottom"": 13.669468317283663, ""left"": 20.50383837451768}","[[-0.038197351213961034, -0.0171515724656217], [0.02414640470127304, -0.01719152092562908], [0.025686820164902695, 0.07469584200322531], [-0.03822869114107278, 0.07893013926718852]]","[[-8.151314749059283, -3.660145564163671], [5.152842763251667, -3.6686705655292453], [5.481567423190235, 15.94009268348828], [-8.158002689504931, 16.84369171961803]]",/Users/jimmyli/Desktop/CV_Module2/calibration_output/calibration.npz,b49b50fac7b0472c3840871f0f444f6f125817177d31614ccefad9324bca9281,/Users/jimmyli/Desktop/CV_Module2/results/measurements/annotated/book_01_2p134m.png
book_02,book_measurement_images/book_02_2p134m.jpeg,2026-09-15T02:56:09.881938+00:00,2.134,perpendicular optical-center-to-cover depth Z,3024,4032,"[""top-left"", ""top-right"", ""bottom-right"", ""bottom-left""]","[[1423.682372586032, 1994.1310439959339], [1581.754101931175, 1998.5219253666323], [1572.972339189778, 2240.0204007550456], [1428.0732539567302, 2235.629519384347]]",10.70222163686688,16.87225441097693,"{""top"": 11.168300813701228, ""right"": 16.880631220429507, ""bottom"": 10.236142460032532, ""left"": 16.863877601524354}","[[-0.022310060158744333, 0.02292009020501993], [0.03000466097160308, 0.0243788473911303], [0.027160600472579077, 0.10343094257770406], [-0.020782840703216416, 0.10193006245468517]]","[[-4.76096683787604, 4.891147249751253], [6.402994651340098, 5.202446033267206], [5.796072140848374, 22.072163146082048], [-4.435058206066382, 21.751875327829815]]",/Users/jimmyli/Desktop/CV_Module2/calibration_output/calibration.npz,b49b50fac7b0472c3840871f0f444f6f125817177d31614ccefad9324bca9281,/Users/jimmyli/Desktop/CV_Module2/results/measurements/annotated/book_02_2p134m.png
book_03,book_measurement_images/book_03_2p134m.jpeg,2026-09-15T02:57:40.655181+00:00,2.134,perpendicular optical-center-to-cover depth Z,3024,4032,"[""top-left"", ""top-right"", ""bottom-right"", ""bottom-left""]","[[1559.7996950776828, 2033.6489763322197], [1752.9984753884132, 2029.2580949615212], [1752.9984753884132, 2323.4471467983153], [1564.1905764483813, 2323.4471467983153]]",13.467478798800844,20.36878158901115,"{""top"": 13.633204034223645, ""right"": 20.506021657356364, ""bottom"": 13.301753563378044, ""left"": 20.231541520665935}","[[0.02274573422256256, 0.03586729665702184], [0.0866172681664814, 0.03452297000574992], [0.08660528494472193, 0.13061491704373648], [0.024272810849153833, 0.13066072130810866]]","[[4.85393968309485, 7.6540811066084595], [18.48412502672713, 7.367201799227033], [18.481567807203657, 27.873223297133364], [5.179817835209428, 27.882997927150388]]",/Users/jimmyli/Desktop/CV_Module2/calibration_output/calibration.npz,b49b50fac7b0472c3840871f0f444f6f125817177d31614ccefad9324bca9281,/Users/jimmyli/Desktop/CV_Module2/results/measurements/annotated/book_03_2p134m.png
book_04,book_measurement_images/book_04_2p134m.jpeg,2026-09-15T02:58:16.547708+00:00,2.134,perpendicular optical-center-to-cover depth Z,3024,4032,"[""top-left"", ""top-right"", ""bottom-right"", ""bottom-left""]","[[1533.4544068534924, 1941.440467547553], [1713.4805430521274, 1937.0495861768545], [1722.2623057935243, 2231.2386380136486], [1529.063525482794, 2226.84775664295]]",13.170740149028168,20.234492760414632,"{""top"": 12.702842373855962, ""right"": 20.534056882160645, ""bottom"": 13.638637924200374, ""left"": 19.93492863866862}","[[0.013999436930465849, 0.005706487495278115], [0.0735106438104845, 0.004380753808724984], [0.07651634193843089, 0.1005571201678508], [0.01262153658610899, 0.0991121103590921]]","[[2.987479840961412, 1.2177644314923497], [15.687171389157392, 0.9348528627819115], [16.32858736966115, 21.45888944381936], [2.6934359074756586, 21.150524350630253]]",/Users/jimmyli/Desktop/CV_Module2/calibration_output/calibration.npz,b49b50fac7b0472c3840871f0f444f6f125817177d31614ccefad9324bca9281,/Users/jimmyli/Desktop/CV_Module2/results/measurements/annotated/book_04_2p134m.png
book_05,book_measurement_images/book_05_2p134m.jpeg,2026-09-15T02:58:56.684878+00:00,2.134,perpendicular optical-center-to-cover depth Z,3024,4032,"[""top-left"", ""top-right"", ""bottom-right"", ""bottom-left""]","[[1489.5455931465083, 1950.22223028895], [1700.3078989400324, 1945.8313489182515], [1695.917017569334, 2261.9748076085375], [1493.9364745172065, 2261.9748076085375]]",14.566308643632915,21.91568971541824,"{""top"": 14.876996593422637, ""right"": 22.060510075393083, ""bottom"": 14.255620693843193, ""left"": 21.770869355443395}","[[-0.000528446120137975, 0.00856928195119378], [0.06917288395675449, 0.007233121479632374], [0.06781370324137649, 0.11060052178747692], [0.0010113612089329464, 0.11057673002488297]]","[[-0.11277040203744387, 1.8286847683847525], [14.761493436371406, 1.5435481237535484], [14.471444271709743, 23.602151349447574], [0.21582448198629073, 23.597074187310024]]",/Users/jimmyli/Desktop/CV_Module2/calibration_output/calibration.npz,b49b50fac7b0472c3840871f0f444f6f125817177d31614ccefad9324bca9281,/Users/jimmyli/Desktop/CV_Module2/results/measurements/annotated/book_05_2p134m.png
book_01,book_measurement_images/book_01_2p591m.jpeg,2026-09-15T03:23:30.089763+00:00,2.591,perpendicular optical-center-to-cover depth Z,3024,4032,"[""top-left"", ""top-right"", ""bottom-right"", ""bottom-left""]","[[1590.5358646725717, 2016.0854508494263], [1748.6075940177147, 2007.3036881080293], [1752.9984753884132, 2257.5839262378395], [1590.5358646725717, 2257.5839262378395]]",13.729055648801353,20.839399694297683,"{""top"": 13.553503163751495, ""right"": 21.198303821817944, ""bottom"": 13.904608133851209, ""left"": 20.480495566777417}","[[0.03291856503195458, 0.030128615843787846], [0.0851544486812014, 0.02734628634762358], [0.08664124257537892, 0.10914791982072596], [0.03297622299630594, 0.10917334806378443]]","[[8.529200199779433, 7.806324365125432], [22.063517653299282, 7.08542279266927], [22.448745951280678, 28.2802260255501], [8.54413937834287, 28.286814483326545]]",/Users/jimmyli/Desktop/CV_Module2/calibration_output/calibration.npz,b49b50fac7b0472c3840871f0f444f6f125817177d31614ccefad9324bca9281,/Users/jimmyli/Desktop/CV_Module2/results/measurements/annotated/book_01_2p591m.png
book_02,book_measurement_images/book_02_2p591m.jpeg,2026-09-15T03:24:27.011393+00:00,2.591,perpendicular optical-center-to-cover depth Z,3024,4032,"[""top-left"", ""top-right"", ""bottom-right"", ""bottom-left""]","[[1467.591186293016, 2064.385145927109], [1586.1449833018733, 2064.385145927109], [1581.754101931175, 2261.9748076085375], [1463.2003049223176, 2257.5839262378395]]",10.172079462803259,16.571155527257268,"{""top"": 10.172989103127865, ""right"": 16.75922747962637, ""bottom"": 10.171169822478653, ""left"": 16.38308357488816}","[[-0.00778218752820348, 0.045909330258352435], [0.031480591864436074, 0.04593929431798125], [0.03007097638391911, 0.11060640080316751], [-0.009156835610909762, 0.10912512146480054]]","[[-2.016364788557522, 11.895107469939118], [8.156621352075387, 11.902871157788942], [7.791389981073442, 28.658118448100705], [-2.3725361067867197, 28.274318971529823]]",/Users/jimmyli/Desktop/CV_Module2/calibration_output/calibration.npz,b49b50fac7b0472c3840871f0f444f6f125817177d31614ccefad9324bca9281,/Users/jimmyli/Desktop/CV_Module2/results/measurements/annotated/book_02_2p591m.png
book_03,book_measurement_images/book_03_2p591m.jpeg,2026-09-15T03:25:18.574899+00:00,2.591,perpendicular optical-center-to-cover depth Z,3024,4032,"[""top-left"", ""top-right"", ""bottom-right"", ""bottom-left""]","[[1485.1547117758098, 2042.4307390736167], [1652.0082038623495, 2046.8216204443152], [1647.617322491651, 2288.320095832728], [1480.7638304051113, 2283.9292144620294]]",14.312068087518298,20.47306029998583,"{""top"": 14.320128655029851, ""right"": 20.471102195087628, ""bottom"": 14.304007520006747, ""left"": 20.47501840488403}","[[-0.0019722838930487092, 0.038725009077394075], [0.053276419251833664, 0.040212833122214235], [0.05185365574646184, 0.11920852111707611], [-0.003333239604136799, 0.11773690299114896]]","[[-0.5110187566889206, 10.033649851952806], [13.803920228150105, 10.41914506196571], [13.435282203908264, 30.886927821434423], [-0.8636423814318447, 30.505631565006695]]",/Users/jimmyli/Desktop/CV_Module2/calibration_output/calibration.npz,b49b50fac7b0472c3840871f0f444f6f125817177d31614ccefad9324bca9281,/Users/jimmyli/Desktop/CV_Module2/results/measurements/annotated/book_03_2p591m.png
book_04,book_measurement_images/book_04_2p591m.jpeg,2026-09-15T03:26:15.321877+00:00,2.591,perpendicular optical-center-to-cover depth Z,3024,4032,"[""top-left"", ""top-right"", ""bottom-right"", ""bottom-left""]","[[1471.9820676637146, 2121.4666037461884], [1630.0537970088576, 2112.6848410047915], [1634.444678379556, 2354.183316393204], [1476.3729490344128, 2349.7924350225057]]",13.56086348917468,19.889858961502437,"{""top"": 13.583013146112805, ""right"": 20.447276256810238, ""bottom"": 13.538713832236557, ""left"": 19.332441666194637}","[[-0.00631418616832125, 0.06460172188093294], [0.04603308088237239, 0.061769567963482486], [0.047491417039499016, 0.14067263503767116], [-0.004740649256910787, 0.1391989513023279]]","[[-1.6360056362120359, 16.738306139349728], [11.927171256622685, 16.004495059338314], [12.305026154934195, 36.4482797382606], [-1.228302222465585, 36.066448282433164]]",/Users/jimmyli/Desktop/CV_Module2/calibration_output/calibration.npz,b49b50fac7b0472c3840871f0f444f6f125817177d31614ccefad9324bca9281,/Users/jimmyli/Desktop/CV_Module2/results/measurements/annotated/book_04_2p591m.png
book_05,book_measurement_images/book_05_2p591m.jpeg,2026-09-15T03:26:49.891738+00:00,2.591,perpendicular optical-center-to-cover depth Z,3024,4032,"[""top-left"", ""top-right"", ""bottom-right"", ""bottom-left""]","[[1476.3729490344128, 2046.8216204443152], [1643.2264411209526, 2051.2125018150136], [1647.617322491651, 2301.4927399448234], [1476.3729490344128, 2301.4927399448234]]",14.49628472294761,21.398451622916788,"{""top"": 14.320847037012538, ""right"": 21.213106380036333, ""bottom"": 14.671722408882681, ""left"": 21.583796865797243}","[[-0.004878615404526919, 0.040160892546568676], [0.0503729232596553, 0.0416464157703921], [0.05185172808412541, 0.12350533406382895], [-0.004773970332081491, 0.12346378654809055]]","[[-1.264049251312925, 10.405687258815945], [13.051624416576688, 10.790586326108595], [13.434782746596893, 32.000232055938085], [-1.2369357130423146, 31.989467094610262]]",/Users/jimmyli/Desktop/CV_Module2/calibration_output/calibration.npz,b49b50fac7b0472c3840871f0f444f6f125817177d31614ccefad9324bca9281,/Users/jimmyli/Desktop/CV_Module2/results/measurements/annotated/book_05_2p591m.png
